scenario,experiment,run_id,mode,total_steps,first_step,last_step,min_bid,max_bid,avg_bid,min_ask,max_ask,avg_ask,min_mid,max_mid,avg_mid,mid_range,min_spread,max_spread,avg_spread,min_inventory,max_inventory,avg_inventory,final_inventory,min_pnl,max_pnl,final_pnl,avg_pnl,final_cash_flow,total_actions,buy_actions,sell_actions,total_fills,buy_fills,sell_fills,fill_rate_pct,avg_fill_price,total_fill_qty,avg_fill_qty,min_fill_latency_ms,max_fill_latency_ms,avg_fill_latency_ms,source_file
flash_crash,passive,run_1768694262466_K0Fwv6V6,active,54000,0,53999,992.6,1019.8,1005.595097353387,996.3,1020.2,1005.198725337487,996.15,1019.9000000000001,1004.6751637645601,23.750000000000114,0.1,7.9,0.25849191169319546,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,flash_crash_passive_active_20260117_185743.jsonl
flash_crash,qty_test_300_offset0.0_freq10,run_1768694752766_w6fUm1tO,active,1351,0,1350,999.8,1000.51,1000.4707111111111,1000.1,1000.8,1000.4893703703704,1000.0,1000.5899999999999,1000.4800407407407,0.5899999999999181,0.01,0.5,0.01865925925925926,-200,200,1.998519615099926,200,-1.0,0.5,0.0,-0.20873427091043673,-200100.0,135,67,68,13,7,6,9.62962962962963,1000.5,1400,107.6923076923077,0.0,61.142921447753906,15.004634857177734,flash_crash_qty_test_300_offset0.0_freq10_active_20260117_190553.jsonl
hft_dominated,passive,run_1768694978475_LQ9bX3Zk,active,36000,0,35999,998.0,1069.2,1031.8785021806161,998.4,1069.5,1032.1479346648518,998.3,1069.3000000000002,1032.013218422734,71.00000000000023,0.1,2.7,0.26943248423567323,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,hft_dominated_passive_active_20260117_190939.jsonl
hft_dominated,qty_test_300_offset0.0_freq10,run_1768695185600_rL7nqNjG,active,488,0,487,999.5,999.92,999.9035728952772,999.77,1000.5,999.9319507186858,999.75,1000.0,999.9177618069814,0.25,0.01,1.0,0.02837782340862423,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,48,24,24,0,0,0,0.0,0,0,0,0,0,0,hft_dominated_qty_test_300_offset0.0_freq10_active_20260117_191306.jsonl
mini_flash_crash,passive,run_1768694562163_dOE0jmQi,active,36000,0,35999,970.2,1038.1,1001.7429363160016,973.4,1040.8,1002.3908280691446,972.65,1038.7,1001.6150664611829,66.05000000000007,0.1,8.0,0.953059941316194,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,mini_flash_crash_passive_active_20260117_190243.jsonl
mini_flash_crash,qty_test_300_offset0.0_freq10,run_1768694768258_nwvY8V4D,active,1913,0,1912,999.9,1001.03,1000.9892364016736,1000.1,1002.2,1001.0106171548117,1000.0,1001.1,1000.9999267782428,1.1000000000000227,0.01,2.2,0.021380753138075314,-400,100,-144.85101934134866,0,-2.0,1.0,0.0,-0.03423941453214846,0.0,191,95,96,7,3,4,3.664921465968586,1001.0,900,128.57142857142858,0.0,60.76526641845703,21.33492628733317,mini_flash_crash_qty_test_300_offset0.0_freq10_active_20260117_190609.jsonl
normal_market,aggressive_buy_qty100_freq10,run_1768690638624_IYFge9TA,active,511,0,510,999.8,999.9,999.8003921568627,999.9,1000.0,999.9005882352941,999.8499999999999,999.95,999.8504901960783,0.10000000000013642,0.1,0.2,0.10019607843137256,0,5000,2492.563600782779,5000,-250.0,0.0,-250.0,-124.62818003933478,-4999500.0,51,51,0,42,42,0,82.35294117647058,999.8999999999999,4200,100.0,0.0,17.984390258789062,8.967626662481399,normal_market_aggressive_buy_qty100_freq10_active_20260117_175719.jsonl
normal_market,aggressive_sell_qty100_freq10,run_1768690646462_ywKWXdx2,active,511,0,510,999.8,999.9,999.8003921568627,999.9,1000.0,999.9005882352941,999.8499999999999,999.95,999.8504901960783,0.10000000000013642,0.1,0.2,0.10019607843137256,-5000,0,-2492.563600782779,-5000,-250.0,0.0,-250.0,-124.62818003894307,4999000.0,51,0,51,41,0,41,80.3921568627451,999.7999999999998,4100,100.0,0.0,18.142223358154297,7.609983769858756,normal_market_aggressive_sell_qty100_freq10_active_20260117_175727.jsonl
normal_market,inventory_mgmt_qty100_thresh200_freq5,run_1768690884217_9wLdWKJ8,active,36000,0,35999,999.8,999.9,999.8000055557098,999.9,1000.0,999.9000083335648,999.8499999999999,999.95,999.8500069446374,0.10000000000013642,0.1,0.2,0.10000277785494041,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal_market_inventory_mgmt_qty100_thresh200_freq5_active_20260117_180125.jsonl
normal_market,passive,run_1768689019686_aaRxMKwh,active,36000,0,35999,999.8,999.9,999.8000055557098,999.9,1000.0,999.9000083335648,999.8499999999999,999.95,999.8500069446374,0.10000000000013642,0.1,0.2,0.10000277785494041,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal_market_passive_active_20260117_173020.jsonl
